iter, 	 x_0, 	 f(x),	 df(x),	 error 
0.000000,	1.000000e+02,	9.995000e+03,	2.000000e+02,	-4.997500e+01
1.000000,	5.002500e+01,	2.497501e+03,	1.000500e+02,	-2.496252e+01
2.000000,	2.506248e+01,	6.231277e+02,	5.012495e+01,	-1.243149e+01
3.000000,	1.263099e+01,	1.545419e+02,	2.526198e+01,	-6.117568e+00
4.000000,	6.513420e+00,	3.742464e+01,	1.302684e+01,	-2.872887e+00
5.000000,	3.640533e+00,	8.253480e+00,	7.281066e+00,	-1.133554e+00
6.000000,	2.506979e+00,	1.284944e+00,	5.013958e+00,	-2.562734e-01
7.000000,	2.250706e+00,	6.567607e-02,	4.501411e+00,	-1.459011e-02
8.000000,	2.236116e+00,	2.128712e-04,	4.472231e+00,	-4.759844e-05
9.000000,	2.236068e+00,	2.265611e-09,	4.472136e+00,	-5.066059e-10
10.000000,	2.236068e+00,	8.881784e-16,	4.472136e+00,	0.000000e+00
